SID,aam_years
122,
304,9.08
225,9.2
84,9.25
89,9.58
48,10
62,10.5
87,10.58
45,11.08
20,11.25
141,11.33
176,11.42
41,11.5
309,11.5
220,11.5
307,11.58
188,11.58
317,11.7
314,11.7
85,11.75
180,11.75
138,11.83
164,12
40,12
312,12
34,12.08
200,12.08
19,12.17
101,12.17
17,12.17
30,12.17
27,12.25
205,12.25
305,12.25
179,12.33
32,12.5
2,12.5
140,12.5
68,12.5
57,12.58
80,12.58
81,12.58
102,12.67
3,12.75
53,12.83
50,12.92
86,12.92
60,12.92
120,13.08
131,13.17
303,13.17
47,13.25
202,13.33
301,13.58
311,13.58
167,13.92
76,14
203,14.5
7,14.75
186,14.83
103,16.92
24,
46,
74,
77,
106,
110,
132,
207,
210,
223,
224,
238,
306,
316,
313,
59,