SID,pub_comp
24,3.25
46,2.75
74,3.25
77,3.75
106,2.75
110,3.25
122,3
132,3.75
207,4.25
210,3
223,3
224,3.5
238,4
306,3.5
316,2.5
2,5
3,4.25
7,4.75
17,4
19,4.75
20,4.75
27,5
30,4
32,5
34,4.25
40,4.75
41,5
45,4.25
47,4.25
48,4
50,5
53,4.75
57,4.25
59,4.25
60,4.5
62,4.5
68,4.25
76,4
80,4
81,4.75
84,4.75
85,4.25
86,4.5
87,3.5
89,3.75
101,3.75
102,4.5
103,4.25
120,4
131,4.75
138,5
140,4.5
141,4.25
164,3.25
167,4.25
176,5
179,4.75
180,5
186,4.5
188,3
200,4.5
202,4
203,4.5
205,4
220,4.25
225,4.25
301,4.5
303,4.25
304,4.25
305,4.5
307,4.5
309,4.5
311,4
312,3.75
313,4.75
314,4
317,4.5