"","tagid","FSMI_7_37","FSMI_7_38","FSMI_7_39","FSMI_7_40","FSMI_7_41","FSMI_7_42","K_SRQ_9","K_SRQ_19","K_SRQ_23","mate_seeking","sex_rel"
"1","TAG001",2,2,5,5,5,2,4,4,1,3.5,3
"2","TAG003",4,3,4,5,4,4,5,6,6,4,5.66666666666667
"3","TAG005",2,2,2,2,6,2,7,3,1,2.66666666666667,3.66666666666667
"4","TAG007",1,1,1,1,1,1,4,5,6,1,5
"5","TAG008",6,6,7,5,6,6,4,7,1,6,4
"6","TAG009",2,6,2,3,2,6,6,5,6,3.5,5.66666666666667
"7","TAG010",1,1,4,7,6,1,3,2,4,3.33333333333333,3
"8","TAG011",2,2,5,5,5,2,1,5,7,3.5,4.33333333333333
"9","TAG014",4,4,4,4,4,4,2,2,2,4,2
"10","TAG015",2,2,5,6,5,2,5,5,2,3.66666666666667,4
"11","TAG016",3,3,6,7,5,2,3,2,1,4.33333333333333,2
"12","TAG018",3,1,3,6,6,1,4,5,5,3.33333333333333,4.66666666666667
"13","TAG019",5,6,4,5,3,5,5,5,1,4.66666666666667,3.66666666666667
"14","TAG020",4,5,4,4,4,4,7,7,1,4.16666666666667,5
"15","TAG022",2,4,4,6,6,4,4,2,1,4.33333333333333,2.33333333333333
"16","TAG024",2,2,5,5,5,2,2,5,6,3.5,4.33333333333333
"17","TAG026",5,4,2,2,2,4,6,5,1,3.16666666666667,4
"18","TAG027",5,6,2,6,3,5,2,3,7,4.5,4
"19","TAG028",5,1,1,7,4,1,6,6,7,3.16666666666667,6.33333333333333
"20","TAG030",2,2,7,7,7,1,4,1,1,4.33333333333333,2
"21","TAG032",5,3,5,2,5,2,6,3,4,3.66666666666667,4.33333333333333
"22","TAG033",5,6,3,5,2,5,6,3,1,4.33333333333333,3.33333333333333
"23","TAG034",6,6,2,3,2,5,6,3,1,4,3.33333333333333
"24","TAG035",7,7,1,1,1,7,7,3,1,4,3.66666666666667
"25","TAG036",1,1,5,5,4,4,5,5,6,3.33333333333333,5.33333333333333
"26","TAG037",2,6,3,4,5,5,6,5,1,4.16666666666667,4
"27","TAG038",2,2,2,6,6,2,4,4,4,3.33333333333333,4
"28","TAG040",3,1,5,7,6,1,4,5,7,3.83333333333333,5.33333333333333
"29","TAG041",5,5,1,2,2,5,6,6,6,3.33333333333333,6
"30","TAG042",2,1,2,1,7,1,4,4,4,2.33333333333333,4
"31","TAG044",5,5,2,5,3,5,6,6,1,4.16666666666667,4.33333333333333
"32","TAG045",4,4,4,4,4,4,4,4,4,4,4
"33","TAG046",4,4,4,4,4,4,4,4,4,4,4
"34","TAG047",4,1,1,1,7,1,4,4,1,2.5,3
"35","TAG048",4,7,2,3,1,7,6,6,5,4,5.66666666666667
"36","TAG049",4,5,3,4,4,4,4,4,4,4,4
"37","TAG050",2,5,4,7,4,2,1,3,1,4,1.66666666666667
"38","TAG051",1,1,4,7,7,1,5,5,1,3.5,3.66666666666667
"39","TAG052",4,3,5,6,5,2,1,5,6,4.16666666666667,4
"40","TAG053",6,6,2,6,2,6,7,6,4,4.66666666666667,5.66666666666667
"41","TAG054",2,2,5,5,5,2,4,4,4,3.5,4
"42","TAG055",1,1,7,7,7,1,4,1,1,4,2
"43","TAG056",3,1,2,7,4,1,4,5,7,3,5.33333333333333
"44","TAG057",1,1,7,7,7,1,4,5,1,4,3.33333333333333
"45","TAG058",1,3,4,7,5,1,3,7,1,3.5,3.66666666666667
"46","TAG059",5,6,2,4,4,2,7,7,7,3.83333333333333,7
"47","TAG060",4,2,2,6,6,2,4,4,1,3.66666666666667,3
"48","TAG062",5,4,4,4,4,4,7,1,6,4.16666666666667,4.66666666666667
"49","TAG064",2,5,2,6,3,5,6,5,6,3.83333333333333,5.66666666666667
"50","TAG065",2,1,4,3,2,1,5,6,7,2.16666666666667,6
"51","TAG066",4,5,4,5,3,4,5,4,4,4.16666666666667,4.33333333333333
"52","TAG067",3,5,2,3,3,4,4,6,1,3.33333333333333,3.66666666666667
"53","TAG068",3,5,2,4,3,5,4,4,4,3.66666666666667,4
"54","TAG069",1,1,7,7,7,1,4,1,1,4,2
"55","TAG070",4,4,4,4,4,4,4,4,4,4,4
"56","TAG071",4,5,3,5,3,5,5,4,4,4.16666666666667,4.33333333333333
"57","TAG072",2,2,4,1,6,2,5,5,5,2.83333333333333,5
"58","TAG073",5,6,1,2,3,6,6,7,4,3.83333333333333,5.66666666666667
"59","TAG074",4,2,2,6,5,2,3,4,2,3.5,3
"60","TAG075",5,3,4,6,2,2,5,6,6,3.66666666666667,5.66666666666667
"61","TAG076",3,6,2,3,2,6,6,6,6,3.66666666666667,6
"62","TAG078",4,5,2,3,3,6,5,6,5,3.83333333333333,5.33333333333333
"63","TAG080",2,2,2,6,6,2,4,4,4,3.33333333333333,4
"64","TAG084",5,5,3,7,1,6,6,6,4,4.5,5.33333333333333
"65","TAG085",2,5,5,5,4,5,7,7,7,4.33333333333333,7
"66","TAG086",4,6,4,6,3,4,6,4,4,4.5,4.66666666666667
"67","TAG087",5,4,3,6,3,2,4,5,5,3.83333333333333,4.66666666666667
"68","TAG088",5,5,2,4,2,5,6,5,6,3.83333333333333,5.66666666666667
"69","TAG089",1,1,7,7,7,4,5,1,1,4.5,2.33333333333333
"70","TAG090",4,5,4,2,3,2,4,4,5,3.33333333333333,4.33333333333333
"71","TAG093",3,1,6,7,6,1,6,5,6,4,5.66666666666667
"72","TAG094",4,5,3,4,4,4,4,4,4,4,4
"73","TAG095",1,1,7,7,7,1,4,2,5,4,3.66666666666667
"74","TAG098",2,2,6,6,6,2,2,1,1,4,1.33333333333333
"75","TAG099",3,3,4,5,5,3,4,4,4,3.83333333333333,4
"76","TAG100",4,4,4,4,4,4,5,5,4,4,4.66666666666667
"77","TAG101",2,2,3,5,4,2,5,6,6,3,5.66666666666667
"78","TAG102",3,3,6,2,6,2,2,2,2,3.66666666666667,2
"79","TAG103",2,4,6,6,6,4,2,3,4,4.66666666666667,3
"80","TAG104",6,6,2,2,1,7,6,5,4,4,5
"81","TAG106",2,2,3,6,5,2,6,6,4,3.33333333333333,5.33333333333333
"82","TAG110",5,5,3,6,6,5,5,5,4,5,4.66666666666667
"83","TAG111",5,5,3,4,4,4,5,6,6,4.16666666666667,5.66666666666667
"84","TAG112",5,6,3,5,3,5,6,6,4,4.5,5.33333333333333
"85","TAG113",3,3,3,3,3,3,6,4,4,3,4.66666666666667
"86","TAG116",2,2,5,5,5,2,4,4,4,3.5,4
"87","TAG117",5,4,2,2,2,2,5,5,4,2.83333333333333,4.66666666666667
"88","TAG119",5,3,5,6,3,2,3,2,1,4,2
"89","TAG120",7,7,1,1,1,6,7,7,7,3.83333333333333,7
"90","TAG122",2,2,5,5,5,2,5,5,4,3.5,4.66666666666667
"91","TAG124",1,2,7,7,7,1,1,2,1,4.16666666666667,1.33333333333333
"92","TAG130",3,2,4,6,3,2,4,4,4,3.33333333333333,4
"93","TAG132",7,6,6,5,2,6,7,6,7,5.33333333333333,6.66666666666667
"94","TAG138",5,5,3,5,5,5,4,5,4,4.66666666666667,4.33333333333333
"95","TAG140",4,5,3,5,3,5,4,4,4,4.16666666666667,4
"96","TAG144",5,1,2,6,2,2,2,6,6,3,4.66666666666667
"97","TAG147",4,2,4,5,5,4,6,6,4,4,5.33333333333333
"98","TAG149",2,3,3,6,6,2,6,5,6,3.66666666666667,5.66666666666667
"99","TAG152",2,1,7,6,6,2,5,4,3,4,4
"100","TAG155",2,4,4,5,4,4,5,5,4,3.83333333333333,4.66666666666667
"101","TAG159",4,4,4,4,4,4,6,5,5,4,5.33333333333333
"102","TAG160",2,5,2,6,3,2,7,6,7,3.33333333333333,6.66666666666667
"103","TAG164",5,5,4,6,3,5,5,6,7,4.66666666666667,6
"104","TAG167",5,6,2,2,2,6,6,4,4,3.83333333333333,4.66666666666667
"105","TAG169",3,6,2,3,3,6,6,6,7,3.83333333333333,6.33333333333333
"106","TAG173",3,5,4,5,3,4,6,6,1,4,4.33333333333333
"107","TAG176",4,1,5,6,5,1,2,5,3,3.66666666666667,3.33333333333333
"108","TAG179",6,6,1,2,2,6,7,5,6,3.83333333333333,6
"109","TAG180",1,1,6,6,7,1,2,3,2,3.66666666666667,2.33333333333333
"110","TAG181",6,6,2,4,2,6,5,5,6,4.33333333333333,5.33333333333333
"111","TAG186",5,5,3,5,3,4,4,2,4,4.16666666666667,3.33333333333333
"112","TAG190",1,1,1,7,1,1,6,7,5,2,6
"113","TAG192",3,2,2,2,6,4,5,5,5,3.16666666666667,5
"114","TAG200",1,1,7,7,7,1,1,1,1,4,1
"115","TAG202",5,5,3,3,2,4,6,6,7,3.66666666666667,6.33333333333333
"116","TAG203",5,2,6,6,3,2,5,6,6,4,5.66666666666667
"117","TAG205",3,3,5,3,5,2,3,4,4,3.5,3.66666666666667
"118","TAG207",1,1,7,7,7,7,7,7,7,5,7
"119","TAG208",2,3,4,5,3,3,5,5,4,3.33333333333333,4.66666666666667
"120","TAG210",3,3,5,5,4,3,3,5,4,3.83333333333333,4
"121","TAG215",4,5,3,5,3,4,6,5,4,4,5
"122","TAG218",2,3,6,6,6,2,4,3,4,4.16666666666667,3.66666666666667
"123","TAG220",2,2,6,6,6,2,6,2,4,4,4
"124","TAG221",4,5,2,6,4,4,5,4,5,4.16666666666667,4.66666666666667
"125","TAG223",1,2,6,6,5,1,4,3,1,3.5,2.66666666666667
"126","TAG225",1,1,6,6,6,1,3,5,5,3.5,4.33333333333333
"127","TAG238",2,5,4,5,4,3,4,3,4,3.83333333333333,3.66666666666667
"128","TAG243",4,4,3,7,2,1,6,4,6,3.5,5.33333333333333
"129","TAG247",2,2,6,6,6,2,2,2,2,4,2
"130","TAG250",2,2,6,6,6,3,6,5,2,4.16666666666667,4.33333333333333
"131","TAG252",5,2,6,7,6,2,6,6,4,4.66666666666667,5.33333333333333
"132","TAG253",2,2,7,6,6,2,4,2,4,4.16666666666667,3.33333333333333
"133","TAG261",1,1,1,1,5,1,1,1,1,1.66666666666667,1
